Name,SecId,ISIN,"Inception 
Date","Monthly Return 
2022-10 
ZAR","Return (Day to Day) 
2022-10-01 
to 2022-11-01 
ZAR","Daily Return Index 
2022-09-30 
ZAR","Daily Return Index 
2022-10-01 
ZAR","Daily Return Index 
2022-10-02 
ZAR","Daily Return Index 
2022-10-03 
ZAR","Daily Return Index 
2022-10-04 
ZAR","Daily Return Index 
2022-10-05 
ZAR","Daily Return Index 
2022-10-06 
ZAR","Daily Return Index 
2022-10-07 
ZAR","Daily Return Index 
2022-10-08 
ZAR","Daily Return Index 
2022-10-09 
ZAR","Daily Return Index 
2022-10-10 
ZAR","Daily Return Index 
2022-10-11 
ZAR","Daily Return Index 
2022-10-12 
ZAR","Daily Return Index 
2022-10-13 
ZAR","Daily Return Index 
2022-10-14 
ZAR","Daily Return Index 
2022-10-15 
ZAR","Daily Return Index 
2022-10-16 
ZAR","Daily Return Index 
2022-10-17 
ZAR","Daily Return Index 
2022-10-18 
ZAR","Daily Return Index 
2022-10-19 
ZAR","Daily Return Index 
2022-10-20 
ZAR","Daily Return Index 
2022-10-21 
ZAR","Daily Return Index 
2022-10-22 
ZAR","Daily Return Index 
2022-10-23 
ZAR","Daily Return Index 
2022-10-24 
ZAR","Daily Return Index 
2022-10-25 
ZAR","Daily Return Index 
2022-10-26 
ZAR","Daily Return Index 
2022-10-27 
ZAR","Daily Return Index 
2022-10-28 
ZAR","Daily Return Index 
2022-10-29 
ZAR","Daily Return Index 
2022-10-30 
ZAR","Daily Return Index 
2022-10-31 
ZAR","Daily Return Index 
2022-11-01 
ZAR",P/B Ratio (TTM) (Long),P/B Ratio (TTM) (Short),P/C Ratio (TTM) (Long),P/C Ratio (TTM) (Short),P/E Ratio (TTM) (Long),"Dividend 
YTD",Dividend Yield (Long)
10X SA Property Index A,F00001DXCX,ZAE000306494,23/02/2022,11.0557,10.4843,85.5443,85.5443,85.5443,85.4211,87.0063,86.2941,87.3639,87.887,87.887,87.887,88.9136,88.5148,88.1299,88.8392,89.3826,89.3826,89.3826,91.9007,92.9206,92.9237,93.2668,91.8299,91.8299,91.8299,91.9297,93.1456,93.6185,95.8003,95.4713,95.4713,95.4713,95.0018,94.513,0.61,,,,8.43,2.13,0.09
10X SA Property Index B,F00001DXCY,ZAE000306502,23/02/2022,11.0723,10.5003,85.6305,85.6305,85.6305,85.5103,87.0977,86.3856,87.4572,87.9821,87.9821,87.9821,89.0126,88.615,88.2304,88.9415,89.4863,89.4863,89.4863,92.008,93.0286,93.0316,93.3751,91.9369,91.9369,91.9369,92.0371,93.2549,93.7286,95.9129,95.5834,95.5834,95.5834,95.1118,94.622,0.61,,,,8.43,2.14,0.09
10X SA Property Index C,F00001DXCZ,ZAE000306510,23/02/2022,11.0961,10.5259,85.7304,85.7304,85.7304,85.6091,87.1997,86.4865,87.5602,88.0859,88.0859,88.0859,89.1186,88.7199,88.3353,89.0475,89.5933,89.5933,89.5933,92.1212,93.1448,93.1488,93.4933,92.0531,92.0531,92.0531,92.1563,93.3761,93.8509,96.0392,95.7108,95.7108,95.7108,95.2431,94.7542,0.61,,,,8.43,2.2,0.09
10X SA Property Index D,F00001DXD0,ZAE000306528,23/02/2022,11.0915,10.521,85.7246,85.7246,85.7246,85.6037,87.1933,86.4804,87.5535,88.0786,88.0786,88.0786,89.1102,88.7115,88.3266,89.0384,89.5841,89.5841,89.5841,92.1107,93.1339,93.138,93.4828,92.0435,92.0435,92.0435,92.1464,93.3661,93.8411,96.0292,95.7003,95.7003,95.7003,95.2328,94.7437,0.61,,,,8.43,2.2,0.09
10X SA Property Index P,F00001DXD1,ZAE000306536,23/02/2022,11.0723,10.5003,85.6305,85.6305,85.6305,85.5103,87.0977,86.3856,87.4572,87.9821,87.9821,87.9821,89.0126,88.615,88.2304,88.9415,89.4863,89.4863,89.4863,92.008,93.0286,93.0316,93.3751,91.9369,91.9369,91.9369,92.0371,93.2549,93.7286,95.9129,95.5834,95.5834,95.5834,95.1118,94.622,0.61,,,,8.43,2.14,0.09
10X SA Property Index T,F00001DXD2,ZAE000306544,23/02/2022,11.0551,10.4836,85.5151,85.5151,85.5151,85.392,86.9762,86.2643,87.3338,87.8567,87.8567,87.8567,88.8828,88.4841,88.0993,88.8083,89.3516,89.3516,89.3516,91.8688,92.8883,92.8914,93.2343,91.798,91.798,91.798,91.8977,93.1133,93.5858,95.767,95.4381,95.4381,95.4381,94.9689,94.4802,0.61,,,,8.43,2.13,0.09
10X Top 60 SA Equity Index A,F00001DS5S,ZAE000304093,01/11/2021,5.1007,6.0634,99.9618,99.9618,99.9618,100.5715,103.7172,102.6579,103.2055,103.0527,103.0527,103.0527,101.6918,101.5293,101.4733,101.141,100.9355,100.9355,100.9355,104.1035,104.2757,103.3731,103.4465,102.993,102.993,102.993,101.6122,103.1058,105.3572,105.6005,104.5561,104.5561,104.5561,105.0606,106.0229,1.45,,7.13,,11.9,0.18,0.05
10X Top 60 SA Equity Index B,F00001DXCG,ZAE000304101,01/11/2021,5.1143,6.0772,100.1254,100.1254,100.1254,100.736,103.8874,102.8258,103.3742,103.2215,103.2215,103.2215,101.8588,101.6961,101.6398,101.3074,101.1015,101.1015,101.1015,104.276,104.4487,103.5449,103.6182,103.1643,103.1643,103.1643,101.7814,103.2777,105.5313,105.7754,104.73,104.73,104.73,105.2461,106.2102,1.45,,7.13,,11.9,0.2,0.05
10X Top 60 SA Equity Index C,F00001DXCH,ZAE000304119,01/11/2021,5.1329,6.0968,100.3533,100.3533,100.3533,100.9681,104.1271,103.0645,103.6149,103.4632,103.4632,103.4632,102.1011,101.9394,101.8842,101.5517,101.3468,101.3468,101.3468,104.5299,104.7037,103.7987,103.8731,103.419,103.419,103.419,102.0358,103.5366,105.7966,106.0418,104.9941,104.9941,104.9941,105.5044,106.4717,1.45,,7.13,,11.9,0.27,0.05
10X Top 60 SA Equity Index D,F00001DXCI,ZAE000304127,01/11/2021,5.1337,6.0977,100.297,100.297,100.297,100.912,104.0698,103.008,103.5586,103.4064,103.4064,103.4064,102.0439,101.8819,101.8268,101.4943,101.2893,101.2893,101.2893,104.4713,104.6453,103.7407,103.8154,103.3613,103.3613,103.3613,101.9787,103.4789,105.7381,105.9834,104.9363,104.9363,104.9363,105.4459,106.4128,1.45,,7.13,,11.9,0.26,0.05
10X Top 60 SA Equity Index P,F00001DXCJ,ZAE000304135,01/11/2021,5.1241,6.0884,100.202,100.202,100.202,100.8166,103.9725,102.9108,103.4613,103.3096,103.3096,103.3096,101.9486,101.7869,101.7327,101.4002,101.1954,101.1954,101.1954,104.3763,104.55,103.6461,103.7204,103.2664,103.2664,103.2664,101.8853,103.3839,105.6408,105.8858,104.8403,104.8403,104.8403,105.3364,106.3027,1.45,,7.13,,11.9,0.26,0.05
10X Top 60 SA Equity Index T,F00001DXCK,ZAE000304143,01/11/2021,5.0968,6.0595,100.2234,100.2234,100.2234,100.8348,103.9883,102.9263,103.4753,103.3221,103.3221,103.3221,101.9576,101.7947,101.7385,101.4055,101.1995,101.1995,101.1995,104.3739,104.5465,103.6417,103.7152,103.2605,103.2605,103.2605,101.8761,103.3737,105.629,105.8729,104.8259,104.8259,104.8259,105.3316,106.2964,1.45,,7.13,,11.9,0.18,0.05
1nvest ALSI 40 A,F000002CHD,ZAE000023602,17/03/2000,4.8313,6.1586,12.98,12.98,12.98,13.0862,13.5351,13.3936,13.4438,13.4117,13.4117,13.4117,13.2086,13.1738,13.182,13.134,13.1081,13.1081,13.1081,13.5116,13.554,13.4184,13.4467,13.3887,13.3887,13.3887,13.2489,13.4301,13.7292,13.7063,13.531,13.531,13.531,13.6071,13.7794,1.57,,8.86,,12.42,0.11,0.04
1nvest ALSI 40 Fd B1,F00000W8V1,ZAE000207205,01/07/2015,4.8459,6.1736,7.9268,7.9268,7.9268,7.9918,8.266,8.1796,8.2103,8.1907,8.1907,8.1907,8.0668,8.0455,8.0506,8.0213,8.0056,8.0056,8.0056,8.2521,8.2781,8.1952,8.2126,8.1772,8.1772,8.1772,8.0919,8.2026,8.3853,8.3714,8.2644,8.2644,8.2644,8.311,8.4162,1.57,,8.86,,12.42,0.12,0.04
1nvest ALSI 40 Fd B2,F00000W8V2,ZAE000207197,01/07/2015,4.8703,6.1989,8.0853,8.0853,8.0853,8.1517,8.4314,8.3434,8.3747,8.3549,8.3549,8.3549,8.2286,8.2071,8.2123,8.1825,8.1665,8.1665,8.1665,8.4182,8.4447,8.3603,8.378,8.342,8.342,8.342,8.2552,8.3682,8.5546,8.5405,8.4314,8.4314,8.4314,8.4791,8.5865,1.57,,8.86,,12.42,0.13,0.04
1nvest ALSI 40 Fd B5,F00001DTSQ,ZAE000306015,03/01/2022,4.8517,6.1792,6.5837,6.5837,6.5837,6.6376,6.8653,6.7936,6.8191,6.8029,6.8029,6.8029,6.7,6.6824,6.6867,6.6624,6.6493,6.6493,6.6493,6.854,6.8756,6.8068,6.8212,6.7919,6.7919,6.7919,6.7212,6.8131,6.9647,6.9532,6.8644,6.8644,6.8644,6.9031,6.9905,1.57,,8.86,,12.42,0.12,0.04
1nvest Capped Property Idx Trkr Fd B1,F00000W1NY,ZAE000205548,01/06/2015,10.458,9.7692,0.5923,0.5923,0.5923,0.5917,0.6017,0.5978,0.6041,0.6076,0.6076,0.6076,0.6133,0.6117,0.609,0.6135,0.6168,0.6168,0.6168,0.634,0.6396,0.64,0.6419,0.6336,0.6336,0.6336,0.6332,0.6419,0.6446,0.6598,0.6565,0.6565,0.6565,0.6542,0.6501,0.66,,12.6,,7.32,0.01,0.09
1nvest Capped Property Idx Trkr Fd B2,F00000W1NZ,ZAE000205530,01/06/2015,10.4842,9.7962,0.605,0.605,0.605,0.6044,0.6147,0.6107,0.6171,0.6207,0.6207,0.6207,0.6265,0.6249,0.6221,0.6268,0.6301,0.6301,0.6301,0.6477,0.6534,0.6539,0.6559,0.6474,0.6474,0.6474,0.6469,0.6558,0.6586,0.6741,0.6708,0.6708,0.6708,0.6685,0.6643,0.66,,12.6,,7.32,0.01,0.09
1nvest Capped Property Idx Trkr Fd B3,F00000W1O0,ZAE000205555,01/06/2015,10.4423,9.7533,0.5845,0.5845,0.5845,0.5839,0.5938,0.59,0.5962,0.5996,0.5996,0.5996,0.6052,0.6036,0.6009,0.6054,0.6087,0.6087,0.6087,0.6257,0.6312,0.6316,0.6335,0.6253,0.6253,0.6253,0.6248,0.6334,0.636,0.6511,0.6479,0.6479,0.6479,0.6456,0.6415,0.66,,12.6,,7.32,0.01,0.09
1nvest Global REIT Feeder ETF,F000010927,ZAE000255196,14/03/2018,5.3433,4.8758,22.436,22.436,22.436,22.5278,22.6958,22.389,22.1968,21.8996,21.8996,21.8996,21.6767,21.9293,21.878,22.187,21.7734,21.7734,21.7734,22.1988,22.3829,22.0706,22.1138,22.1115,22.1115,22.1115,22.4499,23.0071,22.7711,22.9153,23.523,23.523,23.523,23.6348,23.53,1.48,,14.1,,25.6,0.31,0.05
1nvest Global REIT Idx Fdr Fd A,F000010IH0,ZAE000254835,14/03/2018,5.3021,4.84,1.525,1.525,1.525,1.5285,1.5428,1.522,1.5089,1.4887,1.4887,1.4887,1.4735,1.4901,1.4867,1.508,1.4799,1.4799,1.4799,1.5088,1.5213,1.4999,1.5029,1.5027,1.5027,1.5027,1.5255,1.5631,1.5472,1.5569,1.5984,1.5984,1.5984,1.6059,1.5988,1.48,,14.1,,25.6,0.02,0.05
1nvest Global REIT Idx Fdr Fd B1,F000010IH1,ZAE000255253,14/03/2018,5.3113,4.8493,1.5357,1.5357,1.5357,1.5392,1.5537,1.5327,1.5195,1.4991,1.4991,1.4991,1.4839,1.5006,1.4972,1.5187,1.4903,1.4903,1.4903,1.5194,1.532,1.5105,1.5135,1.5134,1.5134,1.5134,1.5363,1.5742,1.5582,1.568,1.6097,1.6097,1.6097,1.6173,1.6102,1.48,,14.1,,25.6,0.02,0.05
1nvest Global REIT Idx Fdr Fd B2,F000010IH2,ZAE000255303,14/03/2018,5.3309,4.8696,1.5523,1.5523,1.5523,1.5559,1.5705,1.5493,1.536,1.5154,1.5154,1.5154,1.5,1.5169,1.5135,1.5352,1.5066,1.5066,1.5066,1.536,1.5487,1.527,1.5301,1.5299,1.5299,1.5299,1.5532,1.5915,1.5753,1.5852,1.6274,1.6274,1.6274,1.635,1.6279,1.48,,14.1,,25.6,0.02,0.05
1nvest Index B1,F00000W8UZ,ZAE000207189,01/07/2015,5.2351,6.0911,11.3935,11.3935,11.3935,11.4651,11.7937,11.6799,11.7385,11.7246,11.7246,11.7246,11.5882,11.5813,11.5567,11.5388,11.5141,11.5141,11.5141,11.8555,11.8566,11.7701,11.7586,11.7126,11.7126,11.7126,11.5673,11.7353,11.9844,12.0429,11.954,11.954,11.954,11.99,12.0875,1.49,,8.34,,11.85,0.2,0.04
1nvest Index B2,F00000W8V0,ZAE000207171,01/07/2015,5.2561,6.1123,11.6778,11.6778,11.6778,11.7514,12.0881,11.9715,12.0317,12.0176,12.0176,12.0176,11.8781,11.8711,11.846,11.8278,11.8026,11.8026,11.8026,12.1525,12.1538,12.0652,12.0535,12.0066,12.0066,12.0066,11.858,12.0301,12.2853,12.3454,12.2544,12.2544,12.2544,12.2916,12.3916,1.49,,8.34,,11.85,0.21,0.04
1nvest Index R,F000002CWG,ZAE000021481,01/02/1995,5.2231,6.079,20.3358,20.3358,20.3358,20.4633,21.0501,20.8467,20.9514,20.9264,20.9264,20.9264,20.6825,20.67,20.6261,20.594,20.5498,20.5498,20.5498,21.1592,21.1611,21.0064,20.9858,20.9037,20.9037,20.9037,20.6438,20.9437,21.3884,21.4928,21.334,21.334,21.334,21.398,21.572,1.49,,8.34,,11.85,0.19,0.04
1nvest MSCI World Feeder ETF,F000010929,ZAE000255170,14/03/2018,6.8783,6.0592,60.8753,60.8753,60.8753,60.1707,61.7157,61.2417,62.3833,61.2342,61.2342,61.2342,60.3475,60.1024,60.1799,61.2585,60.572,60.572,60.572,61.1514,61.8898,62.0534,61.8486,62.1269,62.1269,62.1269,63.9174,64.1928,63.2807,63.2264,64.7414,64.7414,64.7414,65.0625,64.5638,3.07,,14.21,,21.16,,0.02
1nvest MSCI World Idx Fdr Fd A,F000010IH3,ZAE000254793,14/03/2018,6.9614,6.1307,1.8236,1.8236,1.8236,1.8024,1.8495,1.8349,1.8694,1.8346,1.8346,1.8346,1.8077,1.8003,1.8026,1.8354,1.8145,1.8145,1.8145,1.832,1.8544,1.8594,1.8531,1.8616,1.8616,1.8616,1.9158,1.9241,1.8964,1.8948,1.9408,1.9408,1.9408,1.9506,1.9354,3.07,,14.21,,21.16,,0.02
1nvest MSCI World Idx Fdr Fd B1,F000010IH4,ZAE000255212,14/03/2018,6.9272,6.1014,1.8352,1.8352,1.8352,1.8139,1.8611,1.8464,1.881,1.8462,1.8462,1.8462,1.8193,1.8119,1.8142,1.847,1.8261,1.8261,1.8261,1.8437,1.8661,1.871,1.8648,1.8732,1.8732,1.8732,1.9275,1.9358,1.9081,1.9065,1.9525,1.9525,1.9525,1.9623,1.9471,3.07,,14.21,,21.16,,0.02
1nvest MSCI World Idx Fdr Fd B2,F000010IH5,ZAE000255261,14/03/2018,6.8785,6.0615,1.8537,1.8537,1.8537,1.8325,1.8796,1.865,1.8996,1.8648,1.8648,1.8648,1.8379,1.8305,1.8329,1.8656,1.8448,1.8448,1.8448,1.8624,1.8848,1.8898,1.8836,1.892,1.892,1.892,1.9463,1.9546,1.927,1.9253,1.9713,1.9713,1.9713,1.9812,1.966,3.07,,14.21,,21.16,,0.02
1nvest MSCI World Idx Fdr Fd B4,F00001DTSS,ZAE000302527,01/03/2022,6.8767,6.0631,1.8601,1.8601,1.8601,1.8389,1.8861,1.8715,1.9061,1.8713,1.8713,1.8713,1.8445,1.837,1.8394,1.8722,1.8514,1.8514,1.8514,1.869,1.8914,1.8964,1.8902,1.8987,1.8987,1.8987,1.953,1.9614,1.9337,1.9321,1.9781,1.9781,1.9781,1.988,1.9729,3.07,,14.21,,21.16,,0.02
1nvest MSCI World Idx Fdr Fd B5,F00001DTSR,ZAE000306023,03/01/2022,6.8575,6.0415,1.8552,1.8552,1.8552,1.8339,1.8811,1.8665,1.9011,1.8663,1.8663,1.8663,1.8394,1.8319,1.8343,1.867,1.8462,1.8462,1.8462,1.8637,1.8861,1.8911,1.8849,1.8933,1.8933,1.8933,1.9476,1.9559,1.9282,1.9266,1.9726,1.9726,1.9726,1.9824,1.9673,3.07,,14.21,,21.16,,0.02
1nvest S&P500 Feeder ETF,F00001092B,ZAE000255055,07/03/2018,7.3439,6.1436,339.094,339.094,339.094,334.4896,342.0368,340.1586,347.3037,340.041,340.041,340.041,334.958,334.1325,334.6834,343.1453,336.1496,336.1496,336.1496,340.4698,344.8298,346.0499,343.5829,348.5515,348.5515,348.5515,358.3784,359.8555,351.8956,351.1286,363.0111,363.0111,363.0111,363.9966,359.9266,4.26,,16.79,,24.39,,0.01
1nvest S&P500 Idx Fdr Fd A,F000010IH6,ZAE000254827,07/03/2018,7.349,6.1318,2.0881,2.0881,2.0881,2.0596,2.106,2.0945,2.1385,2.0938,2.0938,2.0938,2.0623,2.0571,2.0605,2.1128,2.0694,2.0694,2.0694,2.0959,2.123,2.1306,2.1154,2.146,2.146,2.146,2.2065,2.2156,2.1663,2.1617,2.2353,2.2353,2.2353,2.2416,2.2162,4.26,,16.79,,24.39,,0.01
1nvest S&P500 Idx Fdr Fd B1,F000010IH7,ZAE000255246,07/03/2018,7.314,6.1046,2.1009,2.1009,2.1009,2.0724,2.1188,2.1073,2.1513,2.1066,2.1066,2.1066,2.0752,2.0699,2.0733,2.1257,2.0822,2.0822,2.0822,2.1088,2.1359,2.1434,2.1282,2.1589,2.1589,2.1589,2.2194,2.2285,2.1793,2.1746,2.2482,2.2482,2.2482,2.2545,2.2291,4.26,,16.79,,24.39,,0.01
1nvest S&P500 Idx Fdr Fd B2,F000010IH8,ZAE000255295,07/03/2018,7.2801,6.0801,2.1166,2.1166,2.1166,2.0881,2.1345,2.123,2.1671,2.1224,2.1224,2.1224,2.091,2.0858,2.0892,2.1415,2.0981,2.0981,2.0981,2.1247,2.1518,2.1594,2.1442,2.1748,2.1748,2.1748,2.2355,2.2446,2.1953,2.1907,2.2643,2.2643,2.2643,2.2707,2.2453,4.26,,16.79,,24.39,,0.01
1nvest SA Property ETF,F00000PI74,ZAE000279238,13/02/2013,10.7864,10.085,52.8481,52.8481,52.8481,52.7654,53.6393,53.3299,53.8801,54.1562,54.1562,54.1562,54.7183,54.6773,54.4633,54.8169,55.1379,55.1379,55.1379,56.6581,57.1885,57.2414,57.4243,56.6802,56.6802,56.6802,56.6809,57.4318,57.6353,59.003,58.7622,58.7622,58.7622,58.5484,58.1778,0.69,,12.11,,7.86,0.95,0.09
1nvest SWIX 40 ETF,F00000MBO2,ZAE000279220,05/10/2010,5.8222,6.6339,15.8134,15.8134,15.8134,15.9119,16.3797,16.2218,16.2951,16.2906,16.2906,16.2906,16.1016,16.1018,16.079,16.0392,15.991,15.991,15.991,16.4948,16.4925,16.3994,16.3811,16.3199,16.3199,16.3199,16.1233,16.366,16.7601,16.8183,16.6838,16.6838,16.6838,16.7341,16.8625,1.55,,8.46,,12.65,0.15,0.04
1nvest Top 40 ETF,F00000MBO1,ZAE000279212,05/10/2010,4.6811,6.0124,81.5332,81.5332,81.5332,82.1713,84.9367,84.0703,84.3669,84.1775,84.1775,84.1775,82.9329,82.6869,82.7714,82.4703,82.307,82.307,82.307,84.7965,85.0613,84.2132,84.4075,84.0469,84.0469,84.0469,83.1564,84.2944,86.1095,85.9727,84.8664,84.8664,84.8664,85.3498,86.4353,1.57,,8.86,,12.42,0.8,0.04
27four Global Equity FF A1,F00000S7NP,ZAE000185963,04/12/2013,7.1153,7.3723,2.0238,2.0238,2.0238,1.9934,1.9759,2.0764,2.0863,2.1037,2.1037,2.1037,2.0689,2.0357,2.0378,2.0413,2.0318,2.0318,2.0318,2.0283,2.0388,2.0851,2.0724,2.0755,2.0755,2.0755,2.1018,2.1142,2.1156,2.1251,2.1374,2.1374,2.1374,2.1678,2.173,,,,,,,0.02
27four Global Equity FF A2,F00000S7NQ,ZAE000185971,04/12/2013,7.1153,7.3723,2.0238,2.0238,2.0238,1.9934,1.9759,2.0764,2.0864,2.1037,2.1037,2.1037,2.0689,2.0357,2.0379,2.0413,2.0318,2.0318,2.0318,2.0283,2.0388,2.0851,2.0724,2.0755,2.0755,2.0755,2.1018,2.1142,2.1156,2.1251,2.1374,2.1374,2.1374,2.1678,2.173,,,,,,,0.02
27four Global Equity FF A3,F00000S7NR,ZAE000185989,04/12/2013,7.0349,7.285,1.8792,1.8792,1.8792,1.8508,1.8346,1.9278,1.9369,1.953,1.953,1.953,1.9206,1.8896,1.8917,1.8948,1.8859,1.8859,1.8859,1.8826,1.8922,1.9352,1.9233,1.9262,1.9262,1.9262,1.9505,1.9619,1.9632,1.9719,1.9833,1.9833,1.9833,2.0114,2.0161,,,,,,,0.02
27four Global Equity FF A5,F00000WCYN,ZAE000203543,01/04/2015,7.1265,7.3793,2.0571,2.0571,2.0571,2.0262,2.0084,2.1106,2.1207,2.1384,2.1384,2.1384,2.103,2.0692,2.0715,2.0749,2.0653,2.0653,2.0653,2.0618,2.0724,2.1196,2.1066,2.1098,2.1098,2.1098,2.1365,2.1491,2.1506,2.1602,2.1727,2.1727,2.1727,2.2037,2.2089,,,,,,,0.02
27four Global Equity FF A6,F00000WCYO,ZAE000203535,01/04/2015,7.0363,7.2928,1.9101,1.9101,1.9101,1.8813,1.8647,1.9595,1.9689,1.9852,1.9852,1.9852,1.9522,1.9208,1.9228,1.926,1.917,1.917,1.917,1.9136,1.9234,1.9671,1.955,1.958,1.958,1.958,1.9826,1.9943,1.9956,2.0044,2.016,2.016,2.016,2.0445,2.0494,,,,,,,0.02
27four Shari'ah Active Equity A1,F000002RCP,ZAE000129342,11/09/2008,5.8973,6.6384,3.1392,3.1392,3.1392,3.1453,3.2267,3.2342,3.2441,3.2329,3.2329,3.2329,3.2217,3.1969,3.1983,3.1946,3.2236,3.2236,3.2236,3.2129,3.2576,3.2063,3.2061,3.2047,3.2047,3.2047,3.2562,3.2602,3.2851,3.3153,3.3053,3.3053,3.3053,3.3243,3.3476,1.65,,7.72,,12.72,0.04,0.04
27four Shari'ah Active Equity A2,F00000WD5Y,ZAE000203493,01/04/2015,5.9091,6.6494,3.0813,3.0813,3.0813,3.0874,3.1674,3.1746,3.1847,3.1737,3.1737,3.1737,3.1627,3.1383,3.1396,3.1361,3.1646,3.1646,3.1646,3.154,3.1979,3.1476,3.1473,3.1459,3.1459,3.1459,3.1967,3.2005,3.2249,3.2546,3.2447,3.2447,3.2447,3.2634,3.2862,1.65,,7.72,,12.72,0.04,0.04
27four Shari'ah Active Equity A3,F00000WD5Z,ZAE000203501,01/04/2015,5.9076,6.6515,3.0819,3.0819,3.0819,3.088,3.1679,3.1753,3.1853,3.1743,3.1743,3.1743,3.1633,3.1389,3.1403,3.1367,3.1651,3.1651,3.1651,3.1546,3.1984,3.1482,3.148,3.1466,3.1466,3.1466,3.1972,3.201,3.2255,3.2552,3.2453,3.2453,3.2453,3.2639,3.2869,1.65,,7.72,,12.72,0.04,0.04
27four Shari'ah Active Equity A5,F00000WD60,ZAE000203519,01/04/2015,5.9054,6.6456,3.0811,3.0811,3.0811,3.0871,3.1671,3.1744,3.1845,3.1734,3.1734,3.1734,3.1625,3.1381,3.1393,3.1358,3.1643,3.1643,3.1643,3.1538,3.1976,3.1473,3.1471,3.1457,3.1457,3.1457,3.1963,3.2002,3.2247,3.2544,3.2445,3.2445,3.2445,3.2631,3.2859,1.65,,7.72,,12.72,0.04,0.04
27four Shari'ah Active Equity B1,F00001CO54,ZAE000286787,10/07/2020,6.0333,6.7806,3.0254,3.0254,3.0254,3.0317,3.1104,3.1177,3.1277,3.117,3.117,3.117,3.1065,3.0827,3.0841,3.0807,3.1088,3.1088,3.1088,3.0988,3.142,3.0928,3.0927,3.0914,3.0914,3.0914,3.1416,3.1454,3.1696,3.1989,3.1893,3.1893,3.1893,3.2079,3.2306,1.65,,7.72,,12.72,0.08,0.04
27four Shari'ah Active Equity B3,F000002RCQ,ZAE000129359,11/09/2008,5.9748,6.7202,3.3987,3.3987,3.3987,3.4055,3.4938,3.5019,3.5131,3.5011,3.5011,3.5011,3.4891,3.4623,3.4638,3.4599,3.4915,3.4915,3.4915,3.4801,3.5285,3.4731,3.473,3.4715,3.4715,3.4715,3.5276,3.5319,3.5589,3.5918,3.5809,3.5809,3.5809,3.6018,3.6271,1.65,,7.72,,12.72,0.07,0.04
36ONE BCI Equity A,F000002CQQ,ZAE000069589,01/09/2005,6.7344,6.5923,9.0441,9.0441,9.0441,9.077,9.2105,9.217,9.264,9.2524,9.2524,9.2524,9.247,9.2046,9.2149,9.2572,9.327,9.327,9.327,9.3183,9.4017,9.3525,9.3354,9.3393,9.3393,9.3393,9.4408,9.5142,9.576,9.6148,9.6228,9.6228,9.6228,9.6532,9.6404,1.74,,11.36,,13.03,0.09,0.03
36ONE BCI Equity B,F00000OJTY,ZAE000167847,02/07/2012,6.9708,6.8367,11.1359,11.1359,11.1359,11.1777,11.3424,11.3508,11.4104,11.3965,11.3965,11.3965,11.3924,11.3405,11.3535,11.4073,11.4943,11.4943,11.4943,11.4865,11.5899,11.5294,11.5087,11.5139,11.5139,11.5139,11.6437,11.7346,11.8111,11.8611,11.872,11.872,11.872,11.9121,11.8972,1.74,,11.36,,13.03,0.16,0.03
36ONE BCI Equity C2,F00000Q6YD,ZAE000180212,01/07/2013,6.7597,6.6185,9.3362,9.3362,9.3362,9.3704,9.5082,9.515,9.5637,9.5517,9.5517,9.5517,9.5463,9.5027,9.5134,9.557,9.6293,9.6293,9.6293,9.6205,9.7068,9.656,9.6385,9.6426,9.6426,9.6426,9.7476,9.8235,9.8873,9.9274,9.9358,9.9358,9.9358,9.9673,9.9542,1.74,,11.36,,13.03,0.1,0.03
36ONE BCI Equity D,F00000Q6YE,ZAE000180378,01/07/2013,6.7685,6.6274,9.3736,9.3736,9.3736,9.408,9.5465,9.5535,9.6022,9.5903,9.5903,9.5903,9.5849,9.5411,9.5518,9.5957,9.6682,9.6682,9.6682,9.6596,9.7462,9.6952,9.6776,9.6817,9.6817,9.6817,9.7872,9.8634,9.9276,9.9679,9.9764,9.9764,9.9764,10.0081,9.9949,1.74,,11.36,,13.03,0.11,0.03
36ONE BCI Equity E,F000015ACA,ZAE000287512,02/06/2020,6.772,6.6312,8.8844,8.8844,8.8844,8.9171,9.0483,9.0549,9.1011,9.0898,9.0898,9.0898,9.0847,9.0432,9.0534,9.0949,9.1637,9.1637,9.1637,9.1555,9.2376,9.1893,9.1727,9.1765,9.1765,9.1765,9.2767,9.349,9.4098,9.4479,9.4559,9.4559,9.4559,9.4861,9.4736,1.74,,11.36,,13.03,0.11,0.03
36ONE BCI Equity F,F000015XYJ,ZAE000291803,20/10/2020,6.8749,6.7388,8.8436,8.8436,8.8436,8.8759,9.0065,9.0129,9.0601,9.0487,9.0487,9.0487,9.0446,9.0032,9.0133,9.0557,9.1244,9.1244,9.1244,9.1176,9.1992,9.151,9.1344,9.1382,9.1382,9.1382,9.2403,9.3123,9.3728,9.4122,9.4205,9.4205,9.4205,9.4515,9.4395,1.74,,11.36,,13.03,0.12,0.03
